date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 11 2015,2015-06-11,14.624,1087,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 12 2015,2015-06-12,13.742,1217,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 13 2015,2015-06-13,13.855,1326,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 14 2015,2015-06-14,13.27,1243,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 15 2015,2015-06-15,13.289,1280,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 16 2015,2015-06-16,13.381,1110,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 17 2015,2015-06-17,13.017,1128,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 18 2015,2015-06-18,12.865,1104,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 19 2015,2015-06-19,13.217,1195,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 20 2015,2015-06-20,13.161,1181,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 21 2015,2015-06-21,12.225,1222,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 22 2015,2015-06-22,12.414,1288,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 23 2015,2015-06-23,13.326,1079,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 24 2015,2015-06-24,13.934,1027,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 25 2015,2015-06-25,13.925,1046,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 26 2015,2015-06-26,14.406,1105,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 27 2015,2015-06-27,14.625,1001,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 28 2015,2015-06-28,14.234,997,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 29 2015,2015-06-29,14.239,1040,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jun 30 2015,2015-06-30,14.421,1087,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 01 2015,2015-07-01,14.367,1004,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 02 2015,2015-07-02,14.424,958,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 03 2015,2015-07-03,14.514,1023,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 04 2015,2015-07-04,14.488,1007,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 05 2015,2015-07-05,14.319,951,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 06 2015,2015-07-06,14.204,1074,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 07 2015,2015-07-07,14.289,1038,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 08 2015,2015-07-08,14.173,988,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 09 2015,2015-07-09,14.213,1015,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 10 2015,2015-07-10,14.198,972,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 11 2015,2015-07-11,14.022,1080,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 12 2015,2015-07-12,13.836,1016,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 13 2015,2015-07-13,13.357,1101,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 14 2015,2015-07-14,13.401,967,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 15 2015,2015-07-15,13.274,1033,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 16 2015,2015-07-16,12.982,1066,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 17 2015,2015-07-17,13.107,1097,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 18 2015,2015-07-18,13.146,1073,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 19 2015,2015-07-19,12.693,1045,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 20 2015,2015-07-20,13.038,1127,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 21 2015,2015-07-21,12.943,1056,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 22 2015,2015-07-22,13.284,891,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 23 2015,2015-07-23,12.949,1083,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 24 2015,2015-07-24,12.98,1036,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
