date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 12 2016,2016-01-12,28.454,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 13 2016,2016-01-13,28.5,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 14 2016,2016-01-14,28.463,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 15 2016,2016-01-15,30.302,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 16 2016,2016-01-16,28.883,103,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 17 2016,2016-01-17,29.192,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 18 2016,2016-01-18,27.797,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 19 2016,2016-01-19,28.198,71,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 20 2016,2016-01-20,29.214,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 21 2016,2016-01-21,29.679,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 22 2016,2016-01-22,29.382,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 23 2016,2016-01-23,29.195,98,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 24 2016,2016-01-24,28.854,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 25 2016,2016-01-25,29.835,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 26 2016,2016-01-26,29.082,75,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 27 2016,2016-01-27,30.062,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 28 2016,2016-01-28,27.891,82,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
