date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2016,2016-05-27,9.74,0.8692286843789123,0.8749898669999644,2.3627255663121973,22.80386851004038,1.8735641796612608,25.006982235380818,26,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 28 2016,2016-05-28,9.518,0.8876790711362416,0.8641472496196101,2.3611252017940916,22.80386851004038,1.8735641796612608,25.006982235380818,19,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 29 2016,2016-05-29,9.622,0.8939519748472512,0.847039600296257,2.3595565359897837,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 30 2016,2016-05-30,9.595,0.9010844839005955,0.8303679320889883,2.3579829987983296,22.80386851004038,1.8735641796612608,25.006982235380818,21,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
May 31 2016,2016-05-31,9.868,0.8963912970746809,0.8052570235370732,2.356512943648993,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 01 2016,2016-06-01,9.168,0.9104258470564577,0.8119732527172204,2.354876935625837,22.80386851004038,1.8735641796612608,25.006982235380818,23,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 02 2016,2016-06-02,9.383,0.9194546134567263,0.8016820247853405,2.35326539922516,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 03 2016,2016-06-03,9.324,0.9146705713113045,0.7928303712947526,2.351648694929782,22.80386851004038,1.8735641796612608,25.006982235380818,33,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 04 2016,2016-06-04,9.381,0.9119693235665304,0.7795878731252783,2.3500434527060454,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 05 2016,2016-06-05,9.144,0.8833531992994645,0.7777430863291188,2.3484202721519494,22.80386851004038,1.8735641796612608,25.006982235380818,34,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 06 2016,2016-06-06,9.659,0.8286651334816915,0.753872558992719,2.346888530275061,22.80386851004038,1.8735641796612608,25.006982235380818,21,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 07 2016,2016-06-07,10.404,0.823006571809322,0.7424134566882714,2.345761992027845,22.80386851004038,1.8735641796612608,25.006982235380818,23,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 08 2016,2016-06-08,9.665,0.7956843371386471,0.7200895075866307,2.344237512567187,22.80386851004038,1.8735641796612608,25.006982235380818,24,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 09 2016,2016-06-09,9.911,0.7284279096384078,0.6965603444539039,2.342813157708401,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 10 2016,2016-06-10,10.009,0.6963855749263239,0.6746128409649933,2.3414398157883367,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 11 2016,2016-06-11,9.74,0.6584043974448083,0.6534096071031735,2.3399494671783327,22.80386851004038,1.8735641796612608,25.006982235380818,22,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 12 2016,2016-06-12,9.648,0.5608609719752341,0.6344071645527184,2.3384309041794027,22.80386851004038,1.8735641796612608,25.006982235380818,18,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 13 2016,2016-06-13,9.259,0.4949885044525532,0.6314467127230553,2.336838931126144,22.80386851004038,1.8735641796612608,25.006982235380818,26,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 14 2016,2016-06-14,9.158,0.38733667822553836,0.6325502814152789,2.335244842068246,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 15 2016,2016-06-15,9.43,0.36129183287986183,0.6178325943751278,2.333681993327385,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 16 2016,2016-06-16,9.074,0.34516466335291063,0.6211415323577069,2.332094477302097,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 17 2016,2016-06-17,9.069,0.3504302708280001,0.6216612003920085,2.3305103317504634,22.80386851004038,1.8735641796612608,25.006982235380818,28,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 18 2016,2016-06-18,9.156,0.35653359855207656,0.6146958288925064,2.3289291397613945,22.80386851004038,1.8735641796612608,25.006982235380818,32,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 19 2016,2016-06-19,9.004,0.3378612855534114,0.6150427385755382,2.327354510536023,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 20 2016,2016-06-20,9.037,0.3489105293212082,0.6109154151692017,2.325781206455844,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 21 2016,2016-06-21,9.017,0.35215589546759596,0.6061303295413949,2.3242121412017696,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 22 2016,2016-06-22,8.755,0.3753532665537679,0.6168478773435264,2.3226814396638824,22.80386851004038,1.8735641796612608,25.006982235380818,28,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 23 2016,2016-06-23,8.069,0.4498323429696321,0.6921548558562289,2.3214341682181345,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 24 2016,2016-06-24,6.865,0.6436423508921758,0.918658711815869,2.3213383034034423,22.80386851004038,1.8735641796612608,25.006982235380818,42,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 25 2016,2016-06-25,6.464,0.8177714347787927,1.1241911920800742,2.32180635609345,22.80386851004038,1.8735641796612608,25.006982235380818,46,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 26 2016,2016-06-26,6.935,0.9096331766662248,1.2081240762315575,2.32161245072365,22.80386851004038,1.8735641796612608,25.006982235380818,32,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 27 2016,2016-06-27,7.376,0.9592979287436649,1.2294893960541795,2.3209192886281897,22.80386851004038,1.8735641796612608,25.006982235380818,31,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 28 2016,2016-06-28,7.133,1.013306616405175,1.2606480083394291,2.3204843832980147,22.80386851004038,1.8735641796612608,25.006982235380818,31,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 29 2016,2016-06-29,7.58,1.0360621652896875,1.2509906316599226,2.319598748741174,22.80386851004038,1.8735641796612608,25.006982235380818,33,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 30 2016,2016-06-30,7.507,1.0487653299195703,1.2419312227380548,2.3187786677440525,22.80386851004038,1.8735641796612608,25.006982235380818,28,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 01 2016,2016-07-01,7.092,1.0919829353219797,1.2556067042543178,2.318387025131734,22.80386851004038,1.8735641796612608,25.006982235380818,33,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 02 2016,2016-07-02,7.137,1.123043461354847,1.2586676091928786,2.31794218189467,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 03 2016,2016-07-03,6.994,1.1561029346049678,1.2653739323358528,2.3176615538896077,22.80386851004038,1.8735641796612608,25.006982235380818,35,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 04 2016,2016-07-04,6.69,1.1962377656444139,1.2872271650041125,2.3177691917101786,22.80386851004038,1.8735641796612608,25.006982235380818,38,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 05 2016,2016-07-05,7.575,1.2013699345081617,1.2542540676256502,2.3168841803757023,22.80386851004038,1.8735641796612608,25.006982235380818,37,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 06 2016,2016-07-06,8.987,1.1841349915279225,1.2312704717781555,2.315351985617068,22.80386851004038,1.8735641796612608,25.006982235380818,34,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 07 2016,2016-07-07,8.356,1.1235755610457279,1.19154078952037,2.313971289937193,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 08 2016,2016-07-08,8.677,1.0980869173980856,1.158391663105709,2.3124893439948213,22.80386851004038,1.8735641796612608,25.006982235380818,31,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 09 2016,2016-07-09,8.589,1.0579753142286215,1.1238132682656539,2.311032770488354,22.80386851004038,1.8735641796612608,25.006982235380818,43,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 10 2016,2016-07-10,8.198,1.0062875945714589,1.0870722455824682,2.309732184675191,22.80386851004038,1.8735641796612608,25.006982235380818,26,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 11 2016,2016-07-11,8.09,0.9645150106385239,1.0522514550423732,2.308491270177966,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 12 2016,2016-07-12,8.442,0.9248488071527465,1.018913597411333,2.307089437927712,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 13 2016,2016-07-13,8.375,0.9012146394931037,0.985922759106787,2.3057156381161645,22.80386851004038,1.8735641796612608,25.006982235380818,37,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 14 2016,2016-07-14,8.942,0.8932516764446443,0.9684071763082868,2.30420938498807,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 15 2016,2016-07-15,8.322,0.8580266326278878,0.9366521078065649,2.302862724816697,22.80386851004038,1.8735641796612608,25.006982235380818,32,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 16 2016,2016-07-16,9.102,0.8591930891061205,0.9272471462290607,2.3013572839341,22.80386851004038,1.8735641796612608,25.006982235380818,30,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
