date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Mar 14 2024,2024-03-14,1.613,0.09109893573445925,0.1120600413949405,0.5266311262633298,0.5608892353255713,0.3050215005786033,0.3280028466850915,383,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 15 2024,2024-03-15,1.544,0.08794217666614101,0.1110516612537493,0.5265552329579171,0.5608892353255713,0.3050215005786033,0.3280028466850915,326,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 16 2024,2024-03-16,1.545,0.08258176025269733,0.10971639550636147,0.5264794567228291,0.5608892353255713,0.3050215005786033,0.3280028466850915,364,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 17 2024,2024-03-17,1.539,0.08180354937074784,0.10846383045833083,0.5264032147577576,0.5608892353255713,0.3050215005786033,0.3280028466850915,416,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 18 2024,2024-03-18,1.571,0.08145984131536008,0.10570808907642099,0.5263299067753071,0.5608892353255713,0.3050215005786033,0.3280028466850915,270,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 19 2024,2024-03-19,1.522,0.08459833426797887,0.10511192725063452,0.5262524346167345,0.5608892353255713,0.3050215005786033,0.3280028466850915,275,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 20 2024,2024-03-20,1.585,0.08083302642433189,0.10191103167270196,0.5261806470505096,0.5608892353255713,0.3050215005786033,0.3280028466850915,360,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 21 2024,2024-03-21,1.615,0.07916913365785407,0.09857262466233857,0.5261124002824606,0.5608892353255713,0.3050215005786033,0.3280028466850915,298,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 22 2024,2024-03-22,1.664,0.07736262574438807,0.09623003536380685,0.5260510538235103,0.5608892353255713,0.3050215005786033,0.3280028466850915,219,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 23 2024,2024-03-23,1.676,0.07695064846281612,0.09430946117627999,0.5259916243089242,0.5608892353255713,0.3050215005786033,0.3280028466850915,224,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 24 2024,2024-03-24,1.66,0.07585182166943706,0.09178894343322659,0.5259296998735038,0.5608892353255713,0.3050215005786033,0.3280028466850915,233,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 25 2024,2024-03-25,1.665,0.07583497661474088,0.08943607943422979,0.5258685625645367,0.5608892353255713,0.3050215005786033,0.3280028466850915,175,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 26 2024,2024-03-26,1.69,0.07605781980848772,0.08803876111100133,0.5258115034156685,0.5608892353255713,0.3050215005786033,0.3280028466850915,172,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 27 2024,2024-03-27,1.694,0.07632631097546805,0.0867004989935486,0.5257551417290849,0.5608892353255713,0.3050215005786033,0.3280028466850915,210,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 28 2024,2024-03-28,1.721,0.07473388804943853,0.08669738344529518,0.5257036506822368,0.5608892353255713,0.3050215005786033,0.3280028466850915,177,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 29 2024,2024-03-29,1.722,0.07362271013942265,0.08640481820260124,0.525652355996343,0.5608892353255713,0.3050215005786033,0.3280028466850915,228,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 30 2024,2024-03-30,1.739,0.07467404263648632,0.08687837731419001,0.5256043546801075,0.5608892353255713,0.3050215005786033,0.3280028466850915,214,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Mar 31 2024,2024-03-31,1.794,0.07739364225869345,0.09139791191507558,0.5255681465967122,0.5608892353255713,0.3050215005786033,0.3280028466850915,212,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 01 2024,2024-04-01,1.749,0.07823377875271467,0.0911918701564009,0.5255221584550535,0.5608892353255713,0.3050215005786033,0.3280028466850915,221,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 02 2024,2024-04-02,1.748,0.07701620220639621,0.09059668084338196,0.5254759693876732,0.5608892353255713,0.3050215005786033,0.3280028466850915,179,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 03 2024,2024-04-03,1.753,0.07772253182971242,0.09001663164959585,0.5254308060489618,0.5608892353255713,0.3050215005786033,0.3280028466850915,220,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 04 2024,2024-04-04,1.819,0.08121978837073034,0.09412667479799972,0.5254005175478361,0.5608892353255713,0.3050215005786033,0.3280028466850915,200,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 05 2024,2024-04-05,1.861,0.08664924670198096,0.10109680550496832,0.525381007089326,0.5608892353255713,0.3050215005786033,0.3280028466850915,190,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 06 2024,2024-04-06,1.892,0.09479599996409804,0.10931276961582606,0.5253700960444108,0.5608892353255713,0.3050215005786033,0.3280028466850915,212,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 07 2024,2024-04-07,1.925,0.10422676978697883,0.11870202461059239,0.525368945684161,0.5608892353255713,0.3050215005786033,0.3280028466850915,206,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 08 2024,2024-04-08,1.918,0.11115056062132507,0.12472294147464373,0.5253656162684166,0.5608892353255713,0.3050215005786033,0.3280028466850915,188,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 09 2024,2024-04-09,1.947,0.11947319229918944,0.1316948824190385,0.52537124881552,0.5608892353255713,0.3050215005786033,0.3280028466850915,160,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
Apr 10 2024,2024-04-10,1.923,0.1258481844018406,0.1345754768169911,0.5253693390599995,0.5608892353255713,0.3050215005786033,0.3280028466850915,197,USP-S | Torque,USP-S,Torque,Factory New,0,1,1
