date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 02 2015,2015-04-02,6.01,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 03 2015,2015-04-03,6.786,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 04 2015,2015-04-04,6.556,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 05 2015,2015-04-05,6.647,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 06 2015,2015-04-06,6.723,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 07 2015,2015-04-07,6.687,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 08 2015,2015-04-08,6.695,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 09 2015,2015-04-09,7.079,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 10 2015,2015-04-10,7.248,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 11 2015,2015-04-11,6.21,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 12 2015,2015-04-12,6.371,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 13 2015,2015-04-13,6.35,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 14 2015,2015-04-14,5.872,7,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 15 2015,2015-04-15,5.767,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 16 2015,2015-04-16,5.806,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 17 2015,2015-04-17,6.083,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 18 2015,2015-04-18,5.811,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 19 2015,2015-04-19,5.889,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 20 2015,2015-04-20,5.496,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 21 2015,2015-04-21,5.289,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 22 2015,2015-04-22,5.654,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 23 2015,2015-04-23,5.563,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 24 2015,2015-04-24,5.48,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 25 2015,2015-04-25,5.338,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 26 2015,2015-04-26,5.531,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 27 2015,2015-04-27,5.344,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 28 2015,2015-04-28,5.453,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 29 2015,2015-04-29,5.523,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Apr 30 2015,2015-04-30,5.853,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 01 2015,2015-05-01,5.353,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 02 2015,2015-05-02,5.63,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 03 2015,2015-05-03,5.652,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 04 2015,2015-05-04,5.628,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 05 2015,2015-05-05,5.519,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 06 2015,2015-05-06,5.65,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 07 2015,2015-05-07,5.55,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 08 2015,2015-05-08,5.805,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 09 2015,2015-05-09,5.563,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 10 2015,2015-05-10,5.255,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 11 2015,2015-05-11,5.143,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 12 2015,2015-05-12,5.618,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 13 2015,2015-05-13,5.98,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 14 2015,2015-05-14,5.615,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 15 2015,2015-05-15,5.41,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 16 2015,2015-05-16,5.654,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 17 2015,2015-05-17,5.133,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 18 2015,2015-05-18,5.147,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 19 2015,2015-05-19,5.244,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 20 2015,2015-05-20,5.314,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 21 2015,2015-05-21,5.783,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 22 2015,2015-05-22,5.214,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 23 2015,2015-05-23,5.33,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 24 2015,2015-05-24,4.757,27,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 25 2015,2015-05-25,5.32,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 26 2015,2015-05-26,5.232,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 27 2015,2015-05-27,4.169,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 28 2015,2015-05-28,4.142,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 29 2015,2015-05-29,4.293,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 30 2015,2015-05-30,4.356,23,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
May 31 2015,2015-05-31,4.971,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 01 2015,2015-06-01,4.452,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 02 2015,2015-06-02,5.249,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 03 2015,2015-06-03,4.674,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 04 2015,2015-06-04,4.363,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 05 2015,2015-06-05,4.226,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 06 2015,2015-06-06,4.21,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 07 2015,2015-06-07,4.045,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 08 2015,2015-06-08,4.257,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 09 2015,2015-06-09,4.394,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 10 2015,2015-06-10,4.183,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 11 2015,2015-06-11,4.306,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 12 2015,2015-06-12,3.745,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 13 2015,2015-06-13,3.735,25,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 14 2015,2015-06-14,4.138,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 15 2015,2015-06-15,3.687,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 16 2015,2015-06-16,3.544,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 17 2015,2015-06-17,3.834,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 18 2015,2015-06-18,3.883,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 19 2015,2015-06-19,4.0,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 20 2015,2015-06-20,4.146,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 21 2015,2015-06-21,3.694,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 22 2015,2015-06-22,3.515,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 23 2015,2015-06-23,3.687,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 24 2015,2015-06-24,4.044,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 25 2015,2015-06-25,4.231,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 26 2015,2015-06-26,4.209,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 27 2015,2015-06-27,4.087,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 28 2015,2015-06-28,4.011,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 29 2015,2015-06-29,4.312,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jun 30 2015,2015-06-30,4.406,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 01 2015,2015-07-01,3.896,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 02 2015,2015-07-02,4.096,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 03 2015,2015-07-03,4.254,9,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 04 2015,2015-07-04,4.368,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 05 2015,2015-07-05,4.506,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 06 2015,2015-07-06,4.505,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 07 2015,2015-07-07,4.36,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 08 2015,2015-07-08,4.191,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 09 2015,2015-07-09,4.159,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jul 10 2015,2015-07-10,4.141,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
