date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Dec 12 2023,2023-12-12,6.785,0.44507610611,0.5722718337216529,2.406631126570146,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 13 2023,2023-12-13,6.918,0.4461967711905192,0.565671585895799,2.406306867780371,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 14 2023,2023-12-14,6.393,0.41721223684698827,0.5475626176599812,2.4059485106486687,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 15 2023,2023-12-15,6.031,0.40806564296160974,0.5411217032658299,2.405586816304726,7.6502338826898635,1.7633508365443018,8.587032950152782,26,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 16 2023,2023-12-16,6.272,0.4054739656029273,0.5251933888365209,2.4052257890948057,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 17 2023,2023-12-17,6.373,0.4024161239087766,0.5082090204077354,2.4048672962786393,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 18 2023,2023-12-18,6.165,0.4008992033722722,0.49603000267612957,2.40450547388948,7.6502338826898635,1.7633508365443018,8.587032950152782,19,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 19 2023,2023-12-19,6.384,0.3955347740356327,0.47982182558298725,2.404147639002166,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 20 2023,2023-12-20,6.478,0.3923200956762462,0.4643759211185442,2.403793444143832,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 21 2023,2023-12-21,6.291,0.38763099528533795,0.4502403780996078,2.4034335729550396,7.6502338826898635,1.7633508365443018,8.587032950152782,19,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 22 2023,2023-12-22,6.253,0.3865373857401988,0.43720298364934745,2.403073213026375,7.6502338826898635,1.7633508365443018,8.587032950152782,25,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 23 2023,2023-12-23,5.946,0.3887221934470883,0.4377138049409401,2.4027143842360896,7.6502338826898635,1.7633508365443018,8.587032950152782,19,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 24 2023,2023-12-24,5.863,0.39469781981367946,0.4418509385419762,2.4023581087956702,7.6502338826898635,1.7633508365443018,8.587032950152782,20,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 25 2023,2023-12-25,6.402,0.38716106274508255,0.4276727250904906,2.402001821179842,7.6502338826898635,1.7633508365443018,8.587032950152782,8,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 26 2023,2023-12-26,5.99,0.376756985916567,0.4228313733640591,2.4016425571802165,7.6502338826898635,1.7633508365443018,8.587032950152782,21,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 27 2023,2023-12-27,5.568,0.3944013082561689,0.44987320711508944,2.4013022287239205,7.6502338826898635,1.7633508365443018,8.587032950152782,19,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 28 2023,2023-12-28,5.636,0.4022398495324384,0.4630395828412661,2.4009575173170763,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 29 2023,2023-12-29,5.783,0.4107160050226478,0.4615030858516386,2.4006051458570643,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 30 2023,2023-12-30,6.011,0.4099958227992063,0.44886169345669946,2.4002461626770866,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Dec 31 2023,2023-12-31,5.885,0.4131795078985415,0.44068896895546944,2.399890276450813,7.6502338826898635,1.7633508365443018,8.587032950152782,11,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 01 2024,2024-01-01,5.733,0.42146419108623034,0.439899084748129,2.399540726099421,7.6502338826898635,1.7633508365443018,8.587032950152782,15,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 02 2024,2024-01-02,5.631,0.43404250017040646,0.44409427889175507,2.399197088664504,7.6502338826898635,1.7633508365443018,8.587032950152782,10,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 03 2024,2024-01-03,5.944,0.4344927561796261,0.4314663556345499,2.398840051974209,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 04 2024,2024-01-04,7.388,0.4863543289963479,0.5274771203970157,2.3985790022595173,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 05 2024,2024-01-05,5.956,0.4888095837803886,0.5132438257376297,2.398222003612388,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 06 2024,2024-01-06,5.882,0.3952966658386365,0.5014478154062634,2.397867153930485,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 07 2024,2024-01-07,6.045,0.3957118146202349,0.48567694316847765,2.397508986092272,7.6502338826898635,1.7633508365443018,8.587032950152782,9,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 08 2024,2024-01-08,6.04,0.39469901234355986,0.4704234940861214,2.397151036023312,7.6502338826898635,1.7633508365443018,8.587032950152782,16,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 09 2024,2024-01-09,5.773,0.40041355632908837,0.46386517088550994,2.396800833558114,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 10 2024,2024-01-10,5.958,0.4015768359511885,0.45027790201105977,2.396444584930347,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 11 2024,2024-01-11,7.027,0.4173921899485412,0.4931455526494889,2.3961362359781564,7.6502338826898635,1.7633508365443018,8.587032950152782,7,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 12 2024,2024-01-12,6.105,0.39024172290902526,0.47717654017070177,2.3957784175747885,7.6502338826898635,1.7633508365443018,8.587032950152782,18,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 13 2024,2024-01-13,5.983,0.387041688924683,0.463576270969283,2.395422135187367,7.6502338826898635,1.7633508365443018,8.587032950152782,12,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Jan 14 2024,2024-01-14,6.048,0.3869599180290813,0.4490411447739643,2.395065048371775,7.6502338826898635,1.7633508365443018,8.587032950152782,17,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
