date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 02 2015,2015-02-02,73.417,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 03 2015,2015-02-03,74.247,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 04 2015,2015-02-04,69.17,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 05 2015,2015-02-05,68.004,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 06 2015,2015-02-06,63.717,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 07 2015,2015-02-07,65.023,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 08 2015,2015-02-08,72.472,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 09 2015,2015-02-09,69.05,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 10 2015,2015-02-10,73.458,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 11 2015,2015-02-11,72.48,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 12 2015,2015-02-12,68.15,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 13 2015,2015-02-13,65.871,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 14 2015,2015-02-14,68.967,10,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 15 2015,2015-02-15,65.393,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 16 2015,2015-02-16,67.51,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 17 2015,2015-02-17,70.76,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 18 2015,2015-02-18,70.972,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 19 2015,2015-02-19,73.307,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 20 2015,2015-02-20,68.449,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 21 2015,2015-02-21,73.921,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 22 2015,2015-02-22,71.191,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 23 2015,2015-02-23,52.681,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 24 2015,2015-02-24,75.119,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 25 2015,2015-02-25,67.139,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 26 2015,2015-02-26,72.769,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 27 2015,2015-02-27,72.851,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Feb 28 2015,2015-02-28,71.213,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 01 2015,2015-03-01,79.218,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 02 2015,2015-03-02,78.859,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 03 2015,2015-03-03,77.202,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 04 2015,2015-03-04,83.658,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 05 2015,2015-03-05,76.717,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 06 2015,2015-03-06,79.183,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 07 2015,2015-03-07,72.202,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 08 2015,2015-03-08,81.434,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 10 2015,2015-03-10,78.973,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 11 2015,2015-03-11,73.216,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 12 2015,2015-03-12,68.041,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 13 2015,2015-03-13,72.49,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 14 2015,2015-03-14,79.839,9,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 15 2015,2015-03-15,73.17,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Mar 16 2015,2015-03-16,77.051,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
