date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 30 2014,2014-07-30,2.649,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Jul 31 2014,2014-07-31,2.568,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 01 2014,2014-08-01,2.624,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 02 2014,2014-08-02,2.722,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 03 2014,2014-08-03,2.736,34,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 04 2014,2014-08-04,2.596,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 05 2014,2014-08-05,2.445,46,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 06 2014,2014-08-06,2.457,45,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 07 2014,2014-08-07,2.571,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 08 2014,2014-08-08,2.476,68,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 09 2014,2014-08-09,2.603,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 10 2014,2014-08-10,2.552,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 11 2014,2014-08-11,2.495,56,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 12 2014,2014-08-12,2.586,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 13 2014,2014-08-13,2.607,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 14 2014,2014-08-14,2.565,54,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 15 2014,2014-08-15,2.604,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 16 2014,2014-08-16,2.585,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 17 2014,2014-08-17,2.079,58,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 18 2014,2014-08-18,2.213,65,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 19 2014,2014-08-19,2.478,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 20 2014,2014-08-20,2.554,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 21 2014,2014-08-21,2.62,45,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 22 2014,2014-08-22,2.682,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 23 2014,2014-08-23,2.574,53,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 24 2014,2014-08-24,2.526,56,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 25 2014,2014-08-25,2.482,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 26 2014,2014-08-26,2.496,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 27 2014,2014-08-27,2.643,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 28 2014,2014-08-28,2.561,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 29 2014,2014-08-29,2.571,61,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 30 2014,2014-08-30,2.59,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Aug 31 2014,2014-08-31,2.631,46,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 01 2014,2014-09-01,2.75,53,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 02 2014,2014-09-02,2.67,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 03 2014,2014-09-03,2.71,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 04 2014,2014-09-04,2.747,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 05 2014,2014-09-05,2.414,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 06 2014,2014-09-06,2.429,66,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 07 2014,2014-09-07,2.551,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 08 2014,2014-09-08,2.651,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 09 2014,2014-09-09,2.596,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 10 2014,2014-09-10,2.583,29,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 11 2014,2014-09-11,2.518,57,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 12 2014,2014-09-12,2.449,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 13 2014,2014-09-13,2.265,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 14 2014,2014-09-14,2.338,77,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 15 2014,2014-09-15,2.368,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 16 2014,2014-09-16,2.175,58,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 17 2014,2014-09-17,2.428,43,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 18 2014,2014-09-18,2.181,53,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 19 2014,2014-09-19,2.233,53,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 20 2014,2014-09-20,2.205,65,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 21 2014,2014-09-21,2.238,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 22 2014,2014-09-22,2.303,38,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 23 2014,2014-09-23,2.368,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 24 2014,2014-09-24,2.078,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 25 2014,2014-09-25,2.235,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
