date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Sep 10 2015,2015-09-10,1.728,0.12676573107406694,0.2646099686972264,3.0772848135758717,1.1409184229292675,1.3690852492278562,0.9075835597984729,2587,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 11 2015,2015-09-11,1.715,0.12511503212802938,0.2569085431183249,3.070909606923401,1.1409184229292675,1.3690852492278562,0.9075835597984729,2956,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 12 2015,2015-09-12,1.703,0.12374772260775033,0.24963310591802956,3.0646034037655463,1.1409184229292675,1.3690852492278562,0.9075835597984729,3304,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 13 2015,2015-09-13,1.702,0.12356555801058315,0.242505368978059,3.058319758445913,1.1409184229292675,1.3690852492278562,0.9075835597984729,3122,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 14 2015,2015-09-14,1.708,0.11701233356756272,0.23537643274418074,3.0520304842320596,1.1409184229292675,1.3690852492278562,0.9075835597984729,2732,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 15 2015,2015-09-15,1.727,0.11198288046514697,0.22806671975088136,3.045684921596598,1.1409184229292675,1.3690852492278562,0.9075835597984729,2345,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 16 2015,2015-09-16,1.699,0.10866897959614233,0.22147198613428398,3.0394726930721196,1.1409184229292675,1.3690852492278562,0.9075835597984729,2780,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 17 2015,2015-09-17,1.699,0.10758114285914884,0.21500620817819754,3.033280432370086,1.1409184229292675,1.3690852492278562,0.9075835597984729,2648,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 18 2015,2015-09-18,1.72,0.106959273590122,0.20830438032515503,3.027026716361004,1.1409184229292675,1.3690852492278562,0.9075835597984729,5226,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 19 2015,2015-09-19,2.02,0.11583011737878901,0.2112964149970091,3.0197402394090886,1.1409184229292675,1.3690852492278562,0.9075835597984729,5369,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 20 2015,2015-09-20,2.187,0.13260790011324294,0.22809433288292014,3.011998706910906,1.1409184229292675,1.3690852492278562,0.9075835597984729,5051,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 21 2015,2015-09-21,2.122,0.14136251596363958,0.23417083358750676,3.004497688427195,1.1409184229292675,1.3690852492278562,0.9075835597984729,3923,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 22 2015,2015-09-22,2.158,0.14472488367261874,0.24103161554811778,2.996944205846346,1.1409184229292675,1.3690852492278562,0.9075835597984729,3525,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 23 2015,2015-09-23,2.141,0.14580541670411265,0.2442540852060139,2.9894905803056204,1.1409184229292675,1.3690852492278562,0.9075835597984729,3291,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 24 2015,2015-09-24,2.086,0.15108420807968162,0.2424346153771374,2.982244752122083,1.1409184229292675,1.3690852492278562,0.9075835597984729,3019,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 25 2015,2015-09-25,2.05,0.1554282515482317,0.23820332914474135,2.9751511969226856,1.1409184229292675,1.3690852492278562,0.9075835597984729,3529,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 26 2015,2015-09-26,2.036,0.1588022155959764,0.23314496159395967,2.9681434598914174,1.1409184229292675,1.3690852492278562,0.9075835597984729,3963,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 27 2015,2015-09-27,1.946,0.1594930222234223,0.2257637080626226,2.961451182229793,1.1409184229292675,1.3690852492278562,0.9075835597984729,3593,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 28 2015,2015-09-28,1.925,0.15976178027554544,0.21841640830173073,2.9548619070880195,1.1409184229292675,1.3690852492278562,0.9075835597984729,2962,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 29 2015,2015-09-29,1.895,0.1593780873039758,0.2112722931925987,2.948402749412583,1.1409184229292675,1.3690852492278562,0.9075835597984729,2876,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
Sep 30 2015,2015-09-30,1.798,0.15916990127311892,0.2061051652418893,2.9422906538387186,1.1409184229292675,1.3690852492278562,0.9075835597984729,3029,AWP | Worm God,AWP,Worm God,Factory New,0,1,0
